ID:
Row     Mean         STD          RSTD         Low          High          0.10%        0.25%        0.50%        0.75%        1.00%        2.50%        5.00%        7.50%       10.00%       20.00%       25.00%       50.00%       75.00%       80.00%       90.00%       92.50%       95.00%       97.50%       99.00%       99.25%       99.50%       99.75%       99.90%
     1   1.0000       0.0000       0.0000       1.0000       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000    
     2   1.0000       0.0000       0.0000       1.0000       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000    
     3   1.0000       0.0000       0.0000       1.0000       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000    
     4   1.0000       0.0000       0.0000       1.0000       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000    
     5   1.0000       0.0000       0.0000       1.0000       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000    
     6   1.0000       0.0000       0.0000       1.0000       1.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000    
LTVCL:
Row     Mean         STD          RSTD         Low          High          0.10%        0.25%        0.50%        0.75%        1.00%        2.50%        5.00%        7.50%       10.00%       20.00%       25.00%       50.00%       75.00%       80.00%       90.00%       92.50%       95.00%       97.50%       99.00%       99.25%       99.50%       99.75%       99.90%
     1  -1.8885      0.26246       13.898      -2.6732      -1.0551      -2.6731      -2.5937      -2.5674      -2.5368      -2.5309      -2.4106      -2.3329      -2.2837      -2.2133      -2.0974      -2.0498      -1.9000      -1.7188      -1.6728      -1.5479      -1.4882      -1.4419      -1.3468      -1.2516      -1.2294      -1.1981      -1.1560      -1.0552    
