C,Data Desc: data for differential equation problem,,,,,,,,,,,,,,,
C,SET,ID,JID,TIME,DV,AMT,RATE,EVID,MDV,CMT,TSTRAT,TMIN,TMAX,DSTRAT,DMIN,DMAX
,1,1,1,0.00E+00,0,10000,0,1,1,1,0,0.01,49,1,100,10000
,1,1,1,0.00E+00,0,1,0,1,1,3,0,0.01,49,0,100,10000
,1,1,1,0.00E+00,1,0,0,0,0,3,0,0.01,49,0,100,10000
,1,1,1,5.00E-02,1,0,0,0,0,1,1,0.01,49,0,100,10000
,1,1,1,9.00E-02,1,0,0,0,0,3,2,0.01,49,0,100,10000
,1,1,1,0.5,1,0,0,0,0,1,3,0.01,49,0,100,10000
,1,1,1,1.0,1,0,0,0,0,3,4,0.01,49,0,100,10000
,1,1,1,5.00E+00,1,0,0,0,0,1,5,0.01,49,0,100,10000
,1,1,1,1.00E+01,1,0,0,0,0,3,6,0.01,49,0,100,10000
,1,1,1,1.50E+01,1,0,0,0,0,1,7,0.01,49,0,100,10000
,1,1,1,2.0E+01,1,0,0,0,0,3,8,0.01,49,0,100,10000
,1,1,1,3.0E+01,1,0,0,0,0,1,9,0.01,49,0,100,10000
,1,1,1,4.0E+01,1,0,0,0,0,3,10,0.01,49,0,100,10000
